,mean,std,2.5q,25q,50q,75q,97.5q,mc err
v_subj(HC).4,-0.5563528650089404,0.0613137240255018,-0.6805743867427461,-0.5973599959807172,-0.5548348355621517,-0.5148286070009297,-0.43761462334912404,0.0007384189288054191
v_subj(HC).5,-0.16462524571594284,0.046558467135152236,-0.25507180057985235,-0.19617086812076145,-0.1653088230769812,-0.13270596915566318,-0.07476689478606424,0.0005339451563550139
v_subj(HC).8,0.06750479956812669,0.05860574442876943,-0.04568812643185299,0.02823494068072574,0.06643039227739685,0.10702470416653487,0.18347399154321065,0.0006709194959121994
v_subj(HC).9,0.08879904953939183,0.03844037755826973,0.01308802919099783,0.06256091588369822,0.08929996595574097,0.11428751339830234,0.16459673344811027,0.00046095000549371335
v_subj(HC).12,-0.010866099030408163,0.04734242357017057,-0.10209582521466176,-0.04297244020642868,-0.011369496762736964,0.021467268192633226,0.08335956076721596,0.0005642554763510997
v_subj(HC).16,-0.2619057261365058,0.06242644617492867,-0.38571021526511284,-0.3035196250662654,-0.2612408497794502,-0.2206583932247776,-0.13914943079801478,0.0006363123254334781
v_subj(HC).18,0.07645598170144123,0.05919213551541969,-0.03775525411939805,0.03607675883826334,0.0762917279982755,0.11687940906330158,0.19387226168404306,0.0006615264456189977
v_subj(HC).19,0.3994639088744887,0.04982379272298119,0.3001872136938246,0.36577012768159384,0.39984467859349376,0.4331976151556459,0.496622747699196,0.0006233645696137327
v_subj(HC).23,-0.10903494596947466,0.07158398195120709,-0.24973566343553444,-0.15728619414677492,-0.10924229582934497,-0.059808956681245584,0.03074370134356952,0.0008138596835031793
v_subj(HC).25,0.4140557062630265,0.05983251802586026,0.2979401453789368,0.373355660540512,0.41344852471978066,0.4539861200726788,0.5331375563688993,0.0006952069160972369
v_subj(HC).26,-0.0700214501123276,0.05375348334417492,-0.17460757644177158,-0.10742920365661672,-0.06956961491728375,-0.03340235069629774,0.03355280178772113,0.0006239553092245624
v_subj(HC).29,0.0903920644523487,0.049104017434537024,-0.004358369432772458,0.057799980661145056,0.09032961787359935,0.1236832575061044,0.18443703669494071,0.0005696396478644509
v_subj(HC).30,-0.016320634275762434,0.0642406476715824,-0.14437242871825484,-0.059384088024314274,-0.016527073821537036,0.0276882748873557,0.1075934303000966,0.0008031333019206166
v_subj(HC).31,0.046030775286411814,0.047186690891365526,-0.04575258839682417,0.014062275276509495,0.045564807933283435,0.0785260549566904,0.13790374723329418,0.0004885158077470957
v_subj(HC).32,0.05925095131194851,0.045318334057427065,-0.028667274678367938,0.02917897009975018,0.05925378236094675,0.09059433849671461,0.1462266818071229,0.0004578283704938179
v_subj(HC).35,-0.22900922200188004,0.054932379136504055,-0.33430427769296056,-0.2659728957920468,-0.2291266562857806,-0.19219002783740047,-0.12084141597797055,0.0005678855147087362
v_subj(HC).36,0.07406541567327499,0.0409236369136166,-0.00611132507388552,0.04674769065699369,0.07374990570117088,0.1015809269874352,0.15499344706434953,0.00042858891312890304
v_subj(HC).37,0.06235823589151462,0.05585097090024708,-0.04740546410785129,0.024806245869937738,0.06276104601311505,0.10057057860021609,0.17210632114327484,0.000666685791718415
v_subj(HC).38,0.08242586410111177,0.06514901971913711,-0.04185504434952125,0.03835660954291531,0.08162261593455686,0.12692503516205753,0.2112776175610056,0.0006695174079896077
v_subj(SSD).0,0.31689300812797705,0.05128648994147971,0.21895521360783948,0.2823659955260644,0.316435011826506,0.3514508075310686,0.41791165519430495,0.0005455789230989304
v_subj(SSD).3,-0.05424768028582834,0.041520343220720526,-0.1367366325451902,-0.08159122585049522,-0.0539410866858753,-0.026300550981064624,0.027762459214743795,0.00046830651116689113
v_subj(SSD).6,0.5643279205409717,0.06805149619007844,0.42970133189939996,0.5194613372431148,0.5642684867678919,0.6094049114332747,0.6998257182504405,0.0008339251788244409
v_subj(SSD).7,0.1082131048981696,0.050041870284270006,0.010521549523998752,0.07532085321776166,0.1075892071332781,0.1414868193191522,0.20775039193756986,0.0005188381840255334
v_subj(SSD).10,0.13410439912298172,0.043222839261879746,0.04887953761135514,0.10539962834058658,0.13427115699298367,0.1630076059313721,0.219616933010496,0.00039768021368571406
v_subj(SSD).11,0.29491740613143225,0.04486503353913568,0.2076749657803726,0.2649522231289153,0.2943779023572071,0.3254297720696958,0.3825596914284408,0.0005247702730250115
